RUTAS,00-01h,01-02h,02-03h,03-04h,04-05h,05-06h,06-07h,07-08h,08-09h,09-10h,10-11h,11-12h,12-13h,13-14h,14-15h,15-16h,16-17h,17-18h,18-19h,19-20h,20-21h,21-22h,22-23h,23-00h,Total
1,32,14,8,6,7,12,49,147,175,160,142,148,150,160,187,161,128,146,159,163,144,104,68,50,2520
2,41,21,13,9,8,12,36,138,175,128,118,134,148,162,189,158,127,137,145,143,136,103,69,56,2405
5,16,8,6,5,6,22,63,119,126,118,107,112,112,114,127,116,96,96,106,102,87,63,41,28,1796
6,34,16,11,8,8,16,50,104,121,107,102,114,124,134,152,133,111,110,114,114,114,92,66,48,2001
7,28,12,6,5,10,26,65,139,151,139,121,125,125,138,153,142,118,123,133,138,128,99,64,45,2235
8,33,14,7,5,10,20,50,104,125,108,106,119,124,137,155,128,109,114,122,122,118,94,64,49,2037
9,29,16,10,7,9,18,53,163,184,149,136,139,139,147,163,130,116,126,133,146,139,106,68,46,2375
10,42,24,15,11,11,15,37,97,101,95,84,88,98,118,142,126,98,102,107,111,117,98,68,55,1860
11,30,14,8,5,8,20,83,198,157,171,154,149,149,178,192,164,158,175,187,184,163,129,80,46,2802
12,60,28,15,9,8,16,46,121,165,143,143,167,191,226,283,232,150,137,168,178,170,160,109,81,3008
13,20,12,7,5,5,8,28,79,83,75,63,65,65,69,75,64,62,69,71,73,72,55,35,28,1188
14,18,8,4,3,2,4,13,41,60,50,48,55,62,81,115,92,55,59,68,70,70,58,33,25,1095
17,22,11,7,5,5,11,34,77,96,84,77,85,93,103,129,106,73,78,87,92,92,68,47,33,1515
18,20,11,6,5,5,13,41,114,123,102,91,97,100,107,114,90,73,86,98,102,94,73,47,31,1644
21,22,13,9,7,7,9,31,92,121,109,96,99,94,92,107,100,93,102,105,102,97,72,44,33,1655
22,34,18,12,9,8,11,33,91,115,102,94,103,108,116,133,116,91,98,105,106,105,85,58,47,1798
24,29,18,12,9,9,16,47,105,120,95,99,113,115,120,136,119,94,100,106,108,106,85,58,45,1862
25,42,24,16,12,11,16,50,154,177,161,152,163,164,166,177,153,133,144,151,153,146,115,77,63,2622
26,54,32,22,16,13,15,39,125,171,151,149,164,171,177,205,181,143,149,159,159,155,124,87,71,2735
30,7,3,2,1,1,2,6,31,51,42,37,40,38,38,45,38,32,35,36,35,31,23,14,11,600
